"Name","googleScholarId","title","author","journal","number","cites","year","cid","pubid"
"Aila M. Matanock","2n_vv-8AAAAJ","Living in Fear: the Dynamics of extortion in Mexico’s Drug War","B Magaloni, G Robles, AM Matanock, A Diaz-Cayeros, V Romero","Comparative Political Studies","53 (7), 1124-1174",144,2020,3.10317587362804e+152,"UxriW0iASnsC"
"Aila M. Matanock","2n_vv-8AAAAJ","The Empiricists' Insurgency","E Berman, AM Matanock","Annual Review Of Political Science","18, 443-464",118,2015,12737681847721938944,"MXK_kJrjxJIC"
"Aila M. Matanock","2n_vv-8AAAAJ","Electing Peace: From Civil Conflict to Political Participation","AM Matanock","Cambridge University Press",NA,94,2017,10187071865359480832,"QIV2ME_5wuYC"
"Aila M. Matanock","2n_vv-8AAAAJ","Bullets for ballots: Electoral participation provisions and enduring peace after civil conflict","AM Matanock","International Security","41 (4), 93-132",89,2017,6.30351063008042e+75,"-f6ydRqryjwC"
"Aila M. Matanock","2n_vv-8AAAAJ","The Colombian Paradox: Peace Processes, Elite Divisions & Popular Plebiscites","AM Matanock, M García-Sánchez","Daedalus","146 (4), 152-166",88,2017,15792761113433376768,"j3f4tGmQtD8C"
"Aila M. Matanock","2n_vv-8AAAAJ","Does Counterinsurgent Success Match Social Support? Evidence from a Survey Experiment in Colombia","AM Matanock, M García-Sánchez","The Journal Of Politics","80 (3), 800-814",55,2018,1.31352544352181e+118,"r0BpntZqJG4C"
"Aila M. Matanock","2n_vv-8AAAAJ","Governance Delegation Agreements: Shared sovereignty as a substitute for limited statehood","AM Matanock","Governance","27 (4), 589-612",55,2014,900723219019671040,"W7OEmFMy1HYC"
"Aila M. Matanock","2n_vv-8AAAAJ","How and Why Armed Groups Participate in Elections","AM Matanock, P Staniland","Perspectives On Politics","16 (3), 710-727",49,2018,12656655207810639872,"lSLTfruPkqcC"
"Aila M. Matanock","2n_vv-8AAAAJ","Considering Concessions: A Survey Experiment on the Colombian Peace Process","AM Matanock, N Garbiras-Diaz","Conflict Management And Peace Science","35 (5)",36,2018,1431359392527880192,"RYcK_YlVTxYC"
"Aila M. Matanock","2n_vv-8AAAAJ","Using violence, seeking votes: introducing the Militant Group Electoral Participation (MGEP) dataset","AM Matanock","Journal Of Peace Research","53 (6), 845-853",32,2016,1.559455754781e+19,"Wp0gIr-vW9MC"
"Aila M. Matanock","2n_vv-8AAAAJ","The Contagious Diffusion of World-Wide Terrorism: is it Less Common Than We Might Think?","G LaFree, M Xie, AM Matanock","Studies In Conflict And Terrorism","41 (4), 261-280",14,2018,15323238699609663488,"ZeXyd9-uunAC"
"Aila M. Matanock","2n_vv-8AAAAJ","External Engagement: Explaining the Spread of Electoral Participation Provisions in Civil Conflict Settlements","AM Matanock","International Studies Quarterly","62 (3), 656–670",11,2018,1.13513124301263e+58,"NaGl4SEjCO4C"
"Aila M. Matanock","2n_vv-8AAAAJ","How International Actors Help Enforce Domestic Deals","AM Matanock","Annual Review Of Political Science","23, 357-383",10,2020,6246415357751840768,"KxtntwgDAa4C"
"Aila M. Matanock","2n_vv-8AAAAJ","International insurance: Why militant groups and governments compete with ballots instead of bullets","AM Matanock","Stanford University",NA,9,2012,5906500613813051392,"7PzlFSSx8tAC"
"Aila M. Matanock","2n_vv-8AAAAJ","Third Party Policymakers and the Limits of the Influence of Indicators","MM Lee, AM Matanock","The Power Of Global Performance Indicators","341",8,2020,7.92215383168347e+57,"abG-DnoFyZgC"
"Aila M. Matanock","2n_vv-8AAAAJ","Policing Institutions and Post-Conflict Peace","LR Arriola, DA Dow, AM Matanock, M Mattes","Journal Of Conflict Resolution","65 (10), 1738-1763",7,2021,6.73129140990345e+57,"4fKUyHm3Qg0C"
"Aila M. Matanock","2n_vv-8AAAAJ","The Timing of Competition and Cooperation among Militant Groups","M Crenshaw, A Matanock, B Powell","Prepared For Presentation To The International Studies Association","3-7",5,2013,8.60920360509011e+38,"hqOjcs7Dif8C"
"Aila M. Matanock","2n_vv-8AAAAJ","Experiments in Post-Conflict Contexts","AM Matanock","Cambridge University Press",NA,4,2021,12366030031518402560,"1sJd4Hv_s6UC"
"Aila M. Matanock","2n_vv-8AAAAJ","How elections can lead to peace: Making negotiated settlements last","AM Matanock","Foreign Affairs","18, 2021",4,2018,1.20065030581429e+39,"VOx2b1Wkg3QC"
"Aila M. Matanock","2n_vv-8AAAAJ","The Militarization of US Politics","A Matanock, P Staniland","Foreign Affairs","29, 2020",3,2020,18437848105634672640,"geHnlv5EZngC"
"Aila M. Matanock","2n_vv-8AAAAJ","The FARC Just Became a Political Party","A Matanock","Washington Post","30",2,2017,13488267164990834688,"CHSYGLWDkRkC"
"Alison E. Post","1bzrc6QAAAAJ","Can developing countries both decentralize and depoliticize urban water services? Evaluating the legacy of the 1990s reform wave","V Herrera, AE Post","World Development","64, 621-641",81,2014,16518384719368355840,"d1gkVwhDpl0C"
"Alison E. Post","1bzrc6QAAAAJ","Foreign and domestic investment in Argentina: the politics of privatized infrastructure","AE Post","Cambridge University Press",NA,80,2014,3580735761757635584,"u-x6o8ySG0sC"
